,Search_Location,Search_Keywords,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating,Current_Time,Unnamed: 10
0,"New York, NY",social impact,"Manager, Community Impact & Investment-Financial Well-Being",https://www.indeed.com/rc/clk?jk=d5df8ead626a7f77&fccid=b85c5070c3d3d8c8&vjs=3,Capital One," As a member of the CII team and the External Affairs team, the Manager will be responsible for working across Capital One lines of business to support financial","New York, NY 10017 
(Midtown area)","Posted
Posted 29 days ago",3.9,09/10/2022,
1,"New York, NY",social impact,"Account Supervisor, Social Impact",https://www.indeed.com/rc/clk?jk=b1d43338a328c60d&fccid=6f6e7c59f8d53a02&vjs=3,BerlinRosen," Strategize and execute thought leadership programs for high profile social impact leaders.
 Strong news sense and knowledge of the media, particularly around","Hybrid remote in New York, NY 10038","Posted
Posted 30+ days ago",3.6,09/10/2022,
2,"New York, NY",social impact,"Coordinator, Social Impact Communications",https://www.indeed.com/rc/clk?jk=3db47cd851cd54ec&fccid=5cbdaa742f7e51f3&vjs=3,The Estée Lauder Companies," Support social impact and gender equity storytelling across ELC’s internal and external communications channels including social media, company website, the ELC","New York, NY","Posted
Posted 10 days ago",4,09/10/2022,
3,"New York, NY",social impact,Production Coordinator,https://www.indeed.com/rc/clk?jk=181c5b9c3fd8cf25&fccid=57911287acc5a8e3&vjs=3,MTV," A unit of Paramount Global, MTV operations span cable and mobile networks, live events, theatrical films and MTV Studios","New York, NY 10014 
(West Village area)","Posted
Posted 7 days ago",4.2,09/10/2022,
4,"New York, NY",social impact,Associate Producer,https://www.indeed.com/rc/clk?jk=6f9b7efc2975a860&fccid=9a3c3f5c019b5d02&vjs=3,CBS News," Excellent grounding in social media and digital video distribution.
 Candidate will work with producers, executives, and on-air talent to help improve the brand","New York, NY 10019 
(Midtown area)","Posted
Posted 3 days ago",3.9,09/10/2022,
5,"New York, NY",social impact,Social Media Associate - Tommy Hilfiger,https://www.indeed.com/rc/clk?jk=19e2e81828f93759&fccid=ad0324a10541f4ff&vjs=3,PVH," 3-4+ years of related experience, preferably within social media.
 Support eCommerce team with building product assortments for social media and influencer","Hybrid remote in New York, NY","Posted
Posted 30+ days ago",3.8,09/10/2022,
6,"New York, NY",social impact,Part-Time Virtual Social-Emotional Learning Teacher,https://www.indeed.com/rc/clk?jk=0f78e39aa203cfa2&fccid=c8f0689b6dc78538&vjs=3,Together Education, The Part-Time Virtual Social-Emotional Learning Teacher will guide educators through a series of immersive learning experiences to help them uncover ways to,"New York, NY 11106 
(Astoria area)","Posted
Posted 30+ days ago",,09/10/2022,
7,"New York, NY",social impact,Case Coordinator – Bilingual Spanish/English Social Worker –...,https://www.indeed.com/rc/clk?jk=4fb4ac4fb1b218f1&fccid=11caadcdc98800d4&vjs=3,General Dynamics Information Technology, Shall have a Master’s degree in Social Work or a social sciences related discipline and at least two years of demonstrated postgraduate child welfare experience,"New York, NY","Posted
Posted 30+ days ago",3.8,09/10/2022,
8,"New York, NY",social impact,"Senior Project Manager, US Social Impact",https://www.indeed.com/rc/clk?jk=d8bfc3da17667182&fccid=194470e07edcc4c3&vjs=3,Sesame Workshop," 4+ years of professional experience working on project management in social impact, early childhood development, or other related fields","New York, NY 10023 
(Upper West Side area)","Posted
Posted 4 days ago",4.3,09/10/2022,
9,"New York, NY",social impact,Curriculum Development Specialist - Social Studies,https://www.indeed.com/rc/clk?jk=4338a856dc7e9633&fccid=85bfc9ae112ceab7&vjs=3,New Visions Central Office, New Visions provides a comprehensive and competitive compensation and benefits package in addition to the opportunity to make a significant impact on education,"New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
